timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2019-09-01T00:00:00.000Z";"2019-09-30T23:59:59.999Z";"2019-09-18T14:31:04.000Z";"2019-09-26T16:42:02.000Z";279.99254183;332.891324226;208.168069755;228.122901093;1646589372.23;4113583440.92;"2019-09-30T23:59:59.999Z"
"2019-08-01T00:00:00.000Z";"2019-08-31T23:59:59.999Z";"2019-08-14T01:40:03.000Z";"2019-08-30T01:21:01.000Z";326.587290702;353.700800359;272.881130491;279.939502118;1188670880.03;5032832851.68;"2019-08-31T23:59:59.999Z"
"2019-07-01T00:00:00.000Z";"2019-07-31T23:59:59.999Z";"2019-07-09T07:05:04.000Z";"2019-07-15T00:35:04.000Z";399.83349964;428.360047594;258.648999223;326.570272487;1647491046.34;5852931215.88;"2019-07-31T23:59:59.999Z"
"2019-06-01T00:00:00.000Z";"2019-06-30T23:59:59.999Z";"2019-06-22T18:10:03.000Z";"2019-06-04T19:36:04.000Z";445.029559128;522.091288075;368.951117366;399.47036841;1933402677.68;7137232211.41;"2019-06-30T23:59:59.999Z"
"2019-05-01T00:00:00.000Z";"2019-05-31T23:59:59.999Z";"2019-05-30T01:07:01.000Z";"2019-05-01T12:26:01.000Z";267.992926618;478.525894936;266.458678786;445.069949639;2239642924.62;7928120026.91;"2019-05-31T23:59:59.999Z"
"2019-04-01T00:00:00.000Z";"2019-04-30T23:59:59.999Z";"2019-04-03T21:05:03.000Z";"2019-04-01T19:07:01.000Z";168.899082037;342.870039656;167.087395646;267.758146984;1761938029.46;4754698560.18;"2019-04-30T23:59:59.999Z"
"2019-03-01T00:00:00.000Z";"2019-03-31T23:59:59.999Z";"2019-03-30T05:30:02.000Z";"2019-03-04T10:46:02.000Z";132.075426232;177.730904898;123.252815105;168.937546241;454369901.47;2990730945.18;"2019-03-31T23:59:59.999Z"
"2019-02-01T00:00:00.000Z";"2019-02-28T23:59:59.999Z";"2019-02-24T03:27:03.000Z";"2019-02-06T14:50:02.000Z";114.799124622;157.646929236;111.838694411;132.186970127;281575850.92;2332748074.93;"2019-02-28T23:59:59.999Z"
"2019-01-01T00:00:00.000Z";"2019-01-31T23:59:59.999Z";"2019-01-03T00:07:13.000Z";"2019-01-28T15:42:03.000Z";150.895778548;175.464138735;108.0881582;114.810190603;277744299.35;2020317794.3;"2019-01-31T23:59:59.999Z"
"2018-12-01T00:00:00.000Z";"2018-12-31T23:59:59.999Z";"2018-12-21T02:07:13.000Z";"2018-12-15T15:56:09.000Z";172.517676969;229.012739268;75.0753135706;151.045693919;184371700.4;2649556711.45;"2018-12-31T23:59:59.999Z"
"2018-11-01T00:00:00.000Z";"2018-11-30T23:59:59.999Z";"2018-11-07T13:12:10.000Z";"2018-11-25T10:27:08.000Z";423.069;638.552;154.28;173.066890871;97441740;3026267123.8;"2018-11-30T23:59:59.999Z"
"2018-10-01T00:00:00.000Z";"2018-10-31T23:59:59.999Z";"2018-10-02T04:34:18.000Z";"2018-10-31T15:02:04.000Z";531.638;547.491;411.52;422.859;286666000;7371737947.16;"2018-10-31T23:59:59.999Z"
"2018-09-01T00:00:00.000Z";"2018-09-30T23:59:59.999Z";"2018-09-02T04:34:10.000Z";"2018-09-17T22:19:08.000Z";543.962;653.689;413.039;529.925;477471000;9208784935.62;"2018-09-30T23:59:59.999Z"
"2018-08-01T00:00:00.000Z";"2018-08-31T23:59:59.999Z";"2018-08-01T00:04:05.000Z";"2018-08-14T15:24:23.000Z";779.95;779.95;481.433;543.078;307222000;9408059252.32;"2018-08-31T23:59:59.999Z"
"2018-07-01T00:00:00.000Z";"2018-07-31T23:59:59.999Z";"2018-07-18T03:14:03.000Z";"2018-07-12T23:39:04.000Z";749.1790161133;880.9849853516;669.5209960938;777.146;420759000;13419815413.9;"2018-07-31T23:59:59.999Z"
"2018-06-01T00:00:00.000Z";"2018-06-30T23:59:59.999Z";"2018-06-04T00:34:24.000Z";"2018-06-28T23:39:01.000Z";995.6610107422;1206.5300292969;651.2119750977;748.708984375;576081024;12887050715;"2018-06-30T23:59:59.999Z"
"2018-05-01T00:00:00.000Z";"2018-05-31T23:59:59.999Z";"2018-05-06T01:54:14.000Z";"2018-05-29T20:59:21.000Z";1348.6400146484;1838.4899902344;880.8850097656;995.3439941406;705260032;17078622465.8;"2018-05-31T23:59:59.999Z"
"2018-04-01T00:00:00.000Z";"2018-04-30T23:59:59.999Z";"2018-04-24T04:59:14.000Z";"2018-04-06T19:39:12.000Z";688.0139770508;1560.9399414063;603.7050170898;1350.0500488281;753113984;23089803896.2;"2018-04-30T23:59:59.999Z"
"2018-03-01T00:00:00.000Z";"2018-03-31T23:59:59.999Z";"2018-03-02T02:04:13.000Z";"2018-03-30T17:29:13.000Z";1204.8399658203;1303.6600341797;677.5280151367;685.2470092773;306972000;11682407782.7;"2018-03-31T23:59:59.999Z"
"2018-02-01T00:00:00.000Z";"2018-02-28T23:59:59.999Z";"2018-02-18T01:04:12.000Z";"2018-02-06T08:04:18.000Z";1491.1199951172;1641.4000244141;764.0180053711;1204.1600341797;375300992;20462034996;"2018-02-28T23:59:59.999Z"
"2018-01-01T00:00:00.000Z";"2018-01-31T23:59:59.999Z";"2018-01-07T06:54:12.000Z";"2018-01-17T15:39:17.000Z";2534.8200683594;3071.1599121094;1361.0200195313;1486.8900146484;729209024;25191540894.4;"2018-01-31T23:59:59.999Z"
"2017-12-01T00:00:00.000Z";"2017-12-31T23:59:59.999Z";"2017-12-20T16:59:35.000Z";"2017-12-10T04:09:36.000Z";1381.8100585938;4355.6201171875;1226.2099609375;2533.0100097656;1300819968;42774211629.6;"2017-12-31T23:59:59.999Z"
"2017-11-01T00:00:00.000Z";"2017-11-30T23:59:59.999Z";"2017-11-12T07:29:21.000Z";"2017-11-01T00:09:21.000Z";438.2980041504;2477.6499023438;437.908996582;1389.7800292969;1211730048;23391282946.5;"2017-11-30T23:59:59.999Z"
"2017-10-01T00:00:00.000Z";"2017-10-31T23:59:59.999Z";"2017-10-29T11:09:21.000Z";"2017-10-09T19:49:21.000Z";433.3800048828;526.1170043945;289.0369873047;439.0530090332;343799008;7354889628.26;"2017-10-31T23:59:59.999Z"
"2017-09-01T00:00:00.000Z";"2017-09-30T23:59:59.999Z";"2017-09-07T11:05:04.000Z";"2017-09-15T11:35:00.000Z";588.3980102539;707.9810180664;301.6889953613;432.6260070801;150564992;7195230134.65;"2017-09-30T23:59:59.999Z"
"2017-08-01T00:00:00.000Z";"2017-08-31T23:59:59.999Z";"2017-08-19T12:09:41.000Z";"2017-08-05T23:24:35.000Z";294.6019897461;1091.9699707031;200.9779968262;588.1729736328;298144000;9736726124.44;"2017-08-31T23:59:59.999Z"
"2017-07-01T00:00:00.000Z";"2017-07-31T23:59:59.999Z";"2017-07-23T16:54:29.000Z";"2017-07-28T07:19:50.000Z";555.8859863281;578.9710083008;217.0599975586;294.4609985352;1075960;0;"2017-07-31T23:59:59.999Z"
